id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Mafg	5	0.88992	0.89039	1	15525	0	0.37459	0.11099	0.23925	1	3804	3	0.37459	5	0.47994	0.56784	1	8929	1	0.29586	0.2016	0.37635	1	6718	3	0.29586	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mrpl18	5	0.88995	0.89043	1	15526	0	0.49435	0.36932	0.52924	1	8209	2	0.49435	5	0.0030802	0.011427	0.245823	845	4	-0.46416	0.99564	0.99562	1	17776	0	-0.46416	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tsen2	5	0.89001	0.8905	1	15527	0	0.99061	0.00071687	0.0032417	0.105695	555	4	0.99061	5	0.15661	0.27925	1	4490	1	0.09457	0.77271	0.79259	1	13430	1	0.09457	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Smo	5	0.8901	0.89058	1	15528	0	0.10575	0.057767	0.15234	0.986337	2777	2	0.10575	5	0.88987	0.89036	1	15341	0	0.066576	0.0098094	0.034344	0.724702	869	2	0.066576	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Nme3	5	0.89019	0.89066	1	15529	0	0.23169	0.33977	0.50366	1	7749	1	0.23169	5	0.65597	0.67453	1	10955	1	0.1881	0.12431	0.25912	0.988991	4774	2	0.1881	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S1pr3	5	0.89024	0.89072	1	15530	0	0.59688	0.037724	0.11006	0.85481	2318	3	0.59688	5	0.89706	0.89749	1	15518	0	0.20988	0.33338	0.49504	1	8562	2	0.20988	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Vmn1r58	3	0.89028	0.89028	1	15531	0	0.26688	0.25212	0.37725	1	6481	1	0.26688	3	0.72524	0.72544	1	12037	0	0.0094066	0.84384	0.84385	1	14415	0	0.0094066	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Stx16	4	0.89036	0.89043	1	15532	0	0.34619	0.098472	0.21171	1	3558	3	0.34619	4	0.48102	0.52061	1	8939	1	0.11618	0.3944	0.53855	1	9421	2	0.11618	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Dnase1	5	0.89036	0.89085	1	15533	0	0.17895	0.794	0.8091	1	13802	1	0.17895	5	0.51402	0.58589	1	9237	1	0.14446	0.86135	0.86175	1	14699	1	0.14446	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Pramel5	5	0.89037	0.89086	1	15534	0	0.086076	0.74996	0.78153	1	13163	1	0.086076	5	0.19923	0.32467	1	5119	1	0.2777	0.036726	0.10749	0.867798	2250	3	0.2777	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
