id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Dnaja1	2	0.62132	0.62112	1	13107	0	-0.28843	0.79704	0.79643	0.999998	14580	0	-0.28843	2	0.1185	0.19834	1	4108	2	-0.64587	0.8815	0.8814	1	15388	0	-0.64587	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Krtap4-2	2	0.62136	0.62116	1	13108	0	-0.23112	0.78764	0.78709	0.999998	14443	0	-0.23112	2	0.55906	0.56247	1	11566	1	-0.36161	0.83775	0.83746	1	14665	0	-0.36161	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Lrp11	5	0.62162	0.73952	1	13109	1	0.41409	0.033238	0.098469	0.939756	1891	4	0.41409	5	0.9104	0.91104	1	16150	1	0.3831	0.032084	0.095606	0.889515	1934	3	0.3831	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Etohi1	1	0.62163	0.62144	1	13110	0	0.18142	0.37837	0.37847	0.999998	9481	0	0.18142	1	0.86408	0.86449	1	15228	0	0.79125	0.13592	0.13578	0.895874	5231	1	0.79125	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Stac	5	0.62175	0.73957	1	13111	1	-0.18125	0.47393	0.62021	0.999998	11045	2	-0.18125	5	0.72708	0.8067	1	13625	1	0.52881	0.055436	0.14937	0.909258	2971	3	0.52881	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rdh7	5	0.62196	0.73964	1	13112	1	1.076	0.014807	0.048635	0.879641	998	3	1.076	5	0.94408	0.94432	1	16925	0	0.11028	0.14606	0.29429	0.973169	5515	2	0.11028	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Arl13b	5	0.62216	0.73971	1	13113	1	-0.081911	0.85239	0.85315	0.999998	15374	1	-0.081911	5	0.12962	0.28311	1	4332	2	-0.047533	0.63601	0.72744	1	12648	1	-0.047533	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Smoc2	5	0.62221	0.73973	1	13114	1	0.21352	0.22107	0.39521	0.999998	7016	2	0.21352	5	0.97163	0.97174	1	17627	0	0.35811	0.14634	0.29471	0.973283	5522	3	0.35811	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Actr10	5	0.62247	0.73982	1	13115	1	0	0.16974	0.32907	0.999998	5836	2	0	5	0.023532	0.075739	0.731357	1865	4	-1.2487	0.28276	0.45672	1	8220	1	-1.2487	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Cyp2b13	3	0.6227	0.637	1	13116	1	-0.061077	0.54614	0.56695	0.999998	12088	1	-0.061077	3	0.51464	0.57923	1	10870	1	0.13892	0.51697	0.55069	1	11517	1	0.13892	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rc3h1	4	0.62287	0.68172	1	13117	1	0.015979	0.5284	0.60742	0.999998	11918	1	0.015979	4	0.59657	0.6943	1	12124	1	0.61381	0.05487	0.12969	0.8926	2956	3	0.61381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Clcn7	5	0.62288	0.73996	1	13118	1	0.28648	0.18739	0.35536	0.999998	6314	3	0.28648	5	0.76303	0.8213	1	13978	1	0.2986	0.2151	0.39575	0.993338	7187	3	0.2986	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Zc2hc1a	5	0.62291	0.73997	1	13119	1	0.53447	0.12467	0.25924	0.999998	4635	3	0.53447	5	0.94364	0.94388	1	16914	0	0.24357	0.42226	0.5767	1	10184	2	0.24357	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rgs11	5	0.62309	0.74005	1	13120	1	0.50137	0.030115	0.090235	0.932264	1742	4	0.50137	5	0.83967	0.85929	1	14860	1	0.20593	0.46755	0.61658	1	10822	2	0.20593	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Snx13	4	0.62311	0.68185	1	13121	1	0.049898	0.66583	0.68981	0.999998	13069	1	0.049898	4	0.33743	0.49232	1	8312	2	-0.32098	0.61012	0.66136	1	12454	1	-0.32098	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Nkapl	5	0.62311	0.74005	1	13122	1	0.27654	0.15318	0.30392	0.999998	5384	3	0.27654	5	0.81661	0.84673	1	14560	1	0.53812	0.041339	0.11918	0.891735	2406	3	0.53812	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Adh1	5	0.62316	0.74007	1	13123	1	0.89601	0.046078	0.12921	0.961542	2423	3	0.89601	5	0.57999	0.72224	1	11879	1	0.35731	0.074025	0.18012	0.928428	3541	3	0.35731	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Arl4a	5	0.62324	0.7401	1	13124	1	-0.16492	0.32165	0.483	0.999998	8564	2	-0.16492	5	0.63262	0.76486	1	12720	1	0.08488	0.78365	0.8035	1	13970	1	0.08488	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Nmur1	5	0.62345	0.74018	1	13125	1	0.30603	0.15446	0.30591	0.999998	5422	3	0.30603	5	0.42084	0.60021	1	9441	1	0.2039	0.29918	0.47059	1	8445	2	0.2039	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Marc2	5	0.6237	0.74028	1	13126	1	0.041513	0.52276	0.66558	0.999998	11832	2	0.041513	5	0.58663	0.72756	1	11982	2	-0.21165	0.57268	0.70236	1	12221	1	-0.21165	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rimbp2	5	0.62376	0.7403	1	13127	1	0.086504	0.41004	0.56226	0.999998	10010	2	0.086504	5	0.3754	0.56696	1	8810	2	0.13176	0.77491	0.79796	1	13871	1	0.13176	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Vmn1r172	2	0.62397	0.6238	1	13128	0	-0.064738	0.60772	0.60766	0.999998	12562	0	-0.064738	2	0.59794	0.59871	1	12143	1	-0.28347	0.78383	0.78324	1	13975	0	-0.28347	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Atp13a3	5	0.62399	0.74039	1	13129	1	0.90306	0.0053361	0.021001	0.742659	507	4	0.90306	5	0.65353	0.78101	1	13044	1	0.37673	0.13523	0.27751	0.969886	5210	3	0.37673	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mob1b	5	0.62404	0.74041	1	13130	1	0.040133	0.91825	0.91856	0.999998	16679	0	0.040133	5	0.42557	0.60371	1	9510	2	-0.1892	0.15368	0.30597	0.979396	5693	2	-0.1892	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Trim39	3	0.62414	0.63812	1	13131	1	-0.10608	0.023429	0.059921	0.898517	1417	1	-0.10608	3	0.84871	0.84871	1	15005	0	0.03757	0.0046539	0.012883	0.696769	468	1	0.03757	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Trnt1	5	0.62422	0.74047	1	13132	1	0.84123	0.18735	0.3553	0.999998	6313	3	0.84123	5	0.037598	0.11143	0.892861	2251	4	-1.1235	0.96046	0.96062	1	16909	0	-1.1235	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Uqcrc1	5	0.62437	0.74053	1	13133	1	1.3924	0.0011441	0.0051373	0.522865	176	4	1.3924	5	0.27549	0.47907	1	7307	3	-0.28476	0.96625	0.96643	1	17022	0	-0.28476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Taf10	5	0.6245	0.74057	1	13134	1	-0.026739	0.75801	0.78183	0.999998	14070	1	-0.026739	5	0.10036	0.24091	1	3728	2	-0.10152	0.82386	0.83138	1	14468	1	-0.10152	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ndufa2	5	0.6246	0.74061	1	13135	1	1.5779	6.3703e-05	0.00029372	0.130009	40	4	1.5779	5	0.5954	0.73463	1	12102	2	0.31141	0.00075328	0.0033981	0.608007	98	3	0.31141	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Vmn1r60	2	0.62485	0.62471	1	13136	0	0.059549	0.51452	0.5154	0.999998	11707	1	0.059549	2	0.63546	0.63531	1	12768	0	-0.067207	0.62663	0.62648	1	12574	0	-0.067207	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Clcn6	5	0.62499	0.74076	1	13137	1	-0.1551	0.22548	0.39907	0.999998	7100	2	-0.1551	5	0.74235	0.8126	1	13759	1	0.090481	0.036829	0.10787	0.891735	2171	2	0.090481	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Oxgr1	5	0.62519	0.74083	1	13138	1	-0.34358	0.16906	0.32807	0.999998	5813	1	-0.34358	5	0.29604	0.50488	1	7713	3	-0.38582	0.42683	0.58071	1	10245	1	-0.38582	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ppp6r1	5	0.62532	0.74088	1	13139	1	-0.064067	0.85442	0.85507	0.999998	15408	1	-0.064067	5	0.68514	0.79147	1	13277	1	-0.028105	0.32001	0.48822	1	8736	2	-0.028105	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Cd320	5	0.62552	0.74095	1	13140	1	0.58672	0.10113	0.22168	0.999998	4023	3	0.58672	5	0.77634	0.82713	1	14116	1	-0.041991	0.29209	0.4645	1	8349	2	-0.041991	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Nudcd1	5	0.62583	0.74106	1	13141	1	-0.12527	0.30092	0.46492	0.999998	8228	1	-0.12527	5	0.55345	0.70116	1	11475	1	0.065532	0.1664	0.32495	0.984707	5981	1	0.065532	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
